Date,Product Category,Product Name,Price (USD),Units Sold,Revenue (USD),Customer Rating,Sustainability Score,Region,Competitor Name
14/09/2024,Wellness,Aromatherapy Diffuser,160.33,9,1442.97,4.5,7,Australia,Wayfair
18/12/2024,Personal Care,Organic Skincare Set,447.21,11,4919.31,3.8,2,USA,Urban Ladder
31/05/2024,Wellness,Smart Water Bottle,1157.4,16,18518.4,4.7,5,Australia,Wayfair
25/09/2024,Personal Care,Organic Skincare Set,988.79,24,23730.96,4.3,2,USA,Wayfair
30/05/2024,Wellness,Yoga Mat,60.71,35,2124.85,4,4,Canada,Wayfair
21/01/2025,Fashion,Running Shoes,585.62,34,19911.08,3.9,1,UK,Williams-Sonoma
15/05/2024,Fashion,Silk Scarf,505.68,6,3034.08,4.1,8,India,Ashley Furniture
18/11/2024,Gadgets,Portable Projector,990.6,38,37642.8,4.2,7,India,IKEA
30/12/2024,Personal Care,Electric Toothbrush,634.89,43,27300.27,4,5,USA,Williams-Sonoma
13/04/2024,Wellness,Aromatherapy Diffuser,921.49,28,25801.72,3.9,9,Canada,Williams-Sonoma
28/02/2024,Gadgets,Noise Cancelling Headphones,827.32,23,19028.36,4.5,8,UK,Williams-Sonoma
01/10/2024,Fashion,Running Shoes,230.61,41,9455.01,3.7,9,Australia,Williams-Sonoma
19/07/2024,Gadgets,Smartwatch,1019.89,35,35696.15,4.3,9,Germany,Wayfair
18/04/2024,Fashion,Leather Jacket,919.13,40,36765.2,3.9,6,India,Ashley Furniture
15/10/2024,Personal Care,Beard Grooming Kit,1078.06,33,35575.98,3.6,4,USA,Ashley Furniture
20/07/2024,Fashion,Running Shoes,455.98,13,5927.74,3.8,8,Germany,Wayfair
07/09/2024,Gadgets,Portable Projector,832.96,33,27487.68,5,7,Australia,Urban Ladder
01/06/2024,Gadgets,Portable Projector,801.58,11,8817.38,3.9,5,USA,IKEA
27/08/2024,Accessories,Luxury Handbag,464.51,54,25083.54,4,10,UK,Ashley Furniture
24/07/2024,Fashion,Running Shoes,699.67,34,23788.78,3.6,4,USA,Urban Ladder
04/11/2024,Fashion,Silk Scarf,1130.72,40,45228.8,4.9,10,UK,Ashley Furniture
07/06/2024,Fashion,Running Shoes,1049.04,23,24127.92,4.9,8,USA,IKEA
09/09/2024,Personal Care,Organic Skincare Set,703.77,40,28150.8,4.7,3,Australia,Ashley Furniture
05/06/2024,Accessories,Luxury Handbag,438.17,21,9201.57,3.9,9,USA,Wayfair
18/09/2024,Wellness,Aromatherapy Diffuser,1149.52,4,4598.08,3.5,1,Australia,IKEA
15/10/2024,Gadgets,Noise Cancelling Headphones,737.36,13,9585.68,5,10,UK,Ashley Furniture
20/01/2025,Wellness,Yoga Mat,56.09,40,2243.6,4.7,3,Germany,Ashley Furniture
13/01/2025,Gadgets,Portable Projector,635.7,50,31785,3.6,8,USA,Williams-Sonoma
03/01/2025,Personal Care,Electric Toothbrush,116.28,45,5232.6,4.3,6,India,IKEA
09/06/2024,Wellness,Aromatherapy Diffuser,642.97,13,8358.61,4.9,1,USA,Wayfair
17/12/2024,Gadgets,Portable Projector,707.02,3,2121.06,4.1,10,India,IKEA
21/11/2024,Personal Care,Beard Grooming Kit,1100.39,5,5501.95,5,1,India,Williams-Sonoma
08/04/2024,Gadgets,Noise Cancelling Headphones,79.42,52,4129.84,4,3,USA,Williams-Sonoma
11/07/2024,Accessories,Luxury Handbag,187.74,34,6383.16,3.9,5,USA,Urban Ladder
16/12/2024,Wellness,Aromatherapy Diffuser,295.6,25,7390,4.3,1,India,Ashley Furniture
12/04/2024,Accessories,Luxury Handbag,470.48,52,24464.96,3.6,9,Germany,Williams-Sonoma
01/03/2024,Accessories,Sunglasses,488.58,41,20031.78,3.9,8,USA,Urban Ladder
07/08/2024,Personal Care,Organic Skincare Set,1067.94,34,36309.96,3.8,10,UK,IKEA
08/11/2024,Wellness,Smart Water Bottle,576.98,40,23079.2,4.1,1,Australia,Williams-Sonoma
04/12/2024,Accessories,Sunglasses,1016.49,22,22362.78,4.9,9,UK,Wayfair
11/07/2024,Personal Care,Electric Toothbrush,292.6,40,11704,3.6,10,Canada,IKEA
04/06/2024,Wellness,Yoga Mat,552.85,29,16032.65,4.2,6,Australia,IKEA
28/02/2024,Personal Care,Organic Skincare Set,256.65,50,12832.5,4,10,Germany,Urban Ladder
06/10/2024,Wellness,Aromatherapy Diffuser,1147.89,5,5739.45,3.5,9,UK,Williams-Sonoma
31/03/2024,Gadgets,Portable Projector,236.22,22,5196.84,4.5,7,India,Wayfair
21/12/2024,Personal Care,Electric Toothbrush,343.96,13,4471.48,4,5,India,Williams-Sonoma
16/12/2024,Accessories,Sunglasses,982.51,46,45195.46,4.1,2,Germany,Wayfair
05/03/2024,Wellness,Yoga Mat,1048.21,25,26205.25,3.8,7,UK,Williams-Sonoma
30/01/2025,Wellness,Yoga Mat,50.28,35,1759.8,3.6,6,Australia,Williams-Sonoma
23/03/2024,Accessories,Sunglasses,1037.78,54,56040.12,4.6,9,Australia,IKEA
19/12/2024,Fashion,Running Shoes,785.26,17,13349.42,3.6,2,USA,Wayfair
20/12/2024,Accessories,Backpack,178.06,47,8368.82,5,8,Australia,Ashley Furniture
23/05/2024,Accessories,Luxury Handbag,648.09,17,11017.53,4.3,8,Germany,IKEA
06/01/2025,Fashion,Silk Scarf,1059.2,20,21184,4.6,9,India,IKEA
28/09/2024,Gadgets,Noise Cancelling Headphones,272.45,19,5176.55,4,7,Canada,IKEA
25/05/2024,Wellness,Smart Water Bottle,686.5,1,686.5,4.5,9,UK,Wayfair
31/08/2024,Wellness,Aromatherapy Diffuser,48.53,50,2426.5,4.7,6,UK,Williams-Sonoma
26/08/2024,Personal Care,Beard Grooming Kit,867.56,29,25159.24,4.5,8,USA,IKEA
24/01/2025,Personal Care,Organic Skincare Set,989.45,4,3957.8,3.9,7,USA,Urban Ladder
29/04/2024,Gadgets,Noise Cancelling Headphones,1147.97,13,14923.61,4.9,8,India,IKEA
10/01/2025,Gadgets,Portable Projector,1023.71,17,17403.07,4.4,1,Germany,Ashley Furniture
18/07/2024,Wellness,Smart Water Bottle,178.76,20,3575.2,3.7,8,India,Urban Ladder
20/08/2024,Wellness,Smart Water Bottle,226.03,45,10171.35,4.9,4,USA,IKEA
04/03/2024,Gadgets,Noise Cancelling Headphones,1102.22,32,35271.04,4.8,8,Canada,Williams-Sonoma
14/08/2024,Accessories,Sunglasses,100.6,16,1609.6,4,3,USA,Ashley Furniture
27/06/2024,Wellness,Aromatherapy Diffuser,146.15,8,1169.2,3.6,5,Germany,IKEA
28/01/2025,Wellness,Aromatherapy Diffuser,821.32,43,35316.76,3.6,6,Germany,Ashley Furniture
03/08/2024,Fashion,Leather Jacket,476.71,56,26695.76,3.5,7,Canada,Urban Ladder
20/09/2024,Wellness,Yoga Mat,470.73,35,16475.55,3.7,9,India,Ashley Furniture
25/12/2024,Gadgets,Smartwatch,840.86,13,10931.18,4.5,2,USA,IKEA
22/10/2024,Fashion,Silk Scarf,695.71,55,38264.05,4.6,7,Germany,IKEA
31/07/2024,Personal Care,Beard Grooming Kit,579.5,2,1159,4.6,4,USA,IKEA
30/05/2024,Personal Care,Beard Grooming Kit,824.78,59,48662.02,4.2,3,UK,Ashley Furniture
12/04/2024,Wellness,Smart Water Bottle,1027.94,47,48313.18,3.6,2,Germany,Ashley Furniture
08/02/2024,Wellness,Aromatherapy Diffuser,1124.65,38,42736.7,4.7,8,Canada,Urban Ladder
11/02/2024,Wellness,Smart Water Bottle,299.21,45,13464.45,5,3,UK,IKEA
11/08/2024,Gadgets,Smartwatch,512.06,20,10241.2,4.8,9,India,Williams-Sonoma
04/02/2025,Personal Care,Beard Grooming Kit,883.24,9,7949.16,5,7,Canada,Ashley Furniture
03/10/2024,Personal Care,Beard Grooming Kit,677.3,54,36574.2,3.7,5,India,Urban Ladder
18/11/2024,Wellness,Aromatherapy Diffuser,442.01,52,22984.52,4.4,4,Australia,Ashley Furniture
25/08/2024,Fashion,Running Shoes,40.6,26,1055.6,3.9,3,USA,IKEA
09/07/2024,Gadgets,Noise Cancelling Headphones,756.99,4,3027.96,3.9,3,Germany,Ashley Furniture
21/01/2025,Gadgets,Noise Cancelling Headphones,169.14,17,2875.38,3.9,2,India,Urban Ladder
23/08/2024,Personal Care,Organic Skincare Set,929.72,48,44626.56,4.5,10,UK,Williams-Sonoma
29/12/2024,Personal Care,Organic Skincare Set,490.77,55,26992.35,4.6,4,India,Ashley Furniture
29/03/2024,Accessories,Backpack,206.02,11,2266.22,3.6,7,Canada,Ashley Furniture
04/07/2024,Accessories,Sunglasses,253.88,50,12694,4.4,8,Germany,Urban Ladder
20/07/2024,Fashion,Silk Scarf,963.95,42,40485.9,4.1,6,UK,Ashley Furniture
24/11/2024,Gadgets,Smartwatch,343.73,45,15467.85,4.7,9,UK,IKEA
06/01/2025,Accessories,Sunglasses,890.96,29,25837.84,3.9,2,USA,Urban Ladder
12/12/2024,Fashion,Running Shoes,606.54,13,7885.02,4,4,USA,Wayfair
12/10/2024,Accessories,Luxury Handbag,897.27,35,31404.45,4.1,1,UK,Wayfair
05/08/2024,Gadgets,Noise Cancelling Headphones,556.3,8,4450.4,3.7,7,UK,Wayfair
28/11/2024,Wellness,Yoga Mat,1004.67,23,23107.41,4.2,1,USA,Williams-Sonoma
16/08/2024,Gadgets,Noise Cancelling Headphones,358.21,23,8238.83,3.8,5,USA,IKEA
22/02/2024,Fashion,Running Shoes,886.98,41,36366.18,4,5,Germany,IKEA
13/10/2024,Accessories,Luxury Handbag,458.21,13,5956.73,4.4,1,Australia,Urban Ladder
23/04/2024,Accessories,Luxury Handbag,681.92,6,4091.52,4.1,5,India,Ashley Furniture
06/03/2024,Wellness,Smart Water Bottle,1184.88,7,8294.16,3.6,5,Germany,Wayfair
27/04/2024,Personal Care,Organic Skincare Set,503.35,46,23154.1,4.2,5,UK,Ashley Furniture
01/09/2024,Fashion,Running Shoes,494.94,43,21282.42,3.5,1,Canada,IKEA
22/07/2024,Gadgets,Noise Cancelling Headphones,377.98,42,15875.16,4.5,9,Canada,Wayfair
12/12/2024,Gadgets,Noise Cancelling Headphones,1018.89,29,29547.81,4.4,2,UK,Wayfair
01/06/2024,Gadgets,Smartwatch,1033.18,58,59924.44,4.3,2,Canada,Wayfair
30/07/2024,Fashion,Leather Jacket,30.97,59,1827.23,4.6,9,India,Wayfair
05/03/2024,Accessories,Backpack,170.74,42,7171.08,4.4,4,USA,Ashley Furniture
06/02/2025,Fashion,Silk Scarf,242.04,36,8713.44,5,8,Australia,IKEA
29/06/2024,Gadgets,Noise Cancelling Headphones,1069.09,1,1069.09,4.2,7,USA,Williams-Sonoma
26/11/2024,Accessories,Sunglasses,564.56,56,31615.36,3.8,5,Canada,Urban Ladder
14/02/2024,Personal Care,Beard Grooming Kit,764.2,21,16048.2,4.2,4,UK,Williams-Sonoma
06/08/2024,Gadgets,Smartwatch,806.61,33,26618.13,4.4,5,Canada,Wayfair
28/08/2024,Fashion,Running Shoes,178.49,6,1070.94,3.8,3,USA,IKEA
20/01/2025,Fashion,Leather Jacket,593.74,37,21968.38,4.4,4,UK,Ashley Furniture
22/10/2024,Wellness,Aromatherapy Diffuser,514.89,44,22655.16,3.7,5,Australia,Ashley Furniture
18/09/2024,Gadgets,Portable Projector,348.23,2,696.46,4.8,5,Canada,IKEA
04/07/2024,Wellness,Yoga Mat,63.82,7,446.74,3.6,4,Canada,Williams-Sonoma
10/05/2024,Wellness,Yoga Mat,498.57,16,7977.12,4.3,9,USA,Ashley Furniture
13/04/2024,Wellness,Smart Water Bottle,165.7,18,2982.6,3.9,2,Canada,Williams-Sonoma
17/05/2024,Gadgets,Noise Cancelling Headphones,212.62,3,637.86,4.5,2,India,Wayfair
16/05/2024,Wellness,Aromatherapy Diffuser,735.02,11,8085.22,4.5,2,Australia,Wayfair
09/02/2024,Personal Care,Organic Skincare Set,533.74,53,28288.22,4.4,3,Germany,IKEA
09/06/2024,Personal Care,Electric Toothbrush,112.05,48,5378.4,3.8,10,Canada,Wayfair
11/02/2024,Wellness,Smart Water Bottle,1050.87,5,5254.35,3.7,8,USA,Urban Ladder
23/01/2025,Wellness,Yoga Mat,376.64,13,4896.32,4.4,9,India,Williams-Sonoma
23/03/2024,Gadgets,Smartwatch,406.34,56,22755.04,4.4,6,Germany,Ashley Furniture
04/08/2024,Wellness,Aromatherapy Diffuser,1065.79,38,40500.02,4.2,9,India,IKEA
14/11/2024,Wellness,Aromatherapy Diffuser,570.45,50,28522.5,4.1,6,Australia,Wayfair
02/02/2025,Accessories,Sunglasses,396.29,9,3566.61,4.4,8,UK,Williams-Sonoma
01/03/2024,Wellness,Yoga Mat,744.72,53,39470.16,3.9,4,UK,Ashley Furniture
27/01/2025,Accessories,Luxury Handbag,409.65,44,18024.6,4.6,6,Canada,Ashley Furniture
03/02/2025,Personal Care,Electric Toothbrush,602.99,15,9044.85,4.8,2,Germany,Ashley Furniture
26/02/2024,Fashion,Running Shoes,768.89,11,8457.79,3.7,5,Australia,Williams-Sonoma
12/10/2024,Gadgets,Portable Projector,1040.55,5,5202.75,4,8,Germany,Urban Ladder
22/08/2024,Accessories,Sunglasses,739.77,40,29590.8,3.7,3,Australia,Wayfair
09/12/2024,Wellness,Smart Water Bottle,878.34,53,46552.02,4,10,UK,Urban Ladder
14/07/2024,Personal Care,Organic Skincare Set,1182.24,3,3546.72,4,9,USA,Urban Ladder
28/03/2024,Fashion,Running Shoes,942.76,29,27340.04,4.1,6,UK,Urban Ladder
28/03/2024,Personal Care,Beard Grooming Kit,316.11,15,4741.65,4.5,8,Australia,Ashley Furniture
11/08/2024,Personal Care,Beard Grooming Kit,788.92,42,33134.64,4.4,8,USA,Ashley Furniture
28/05/2024,Gadgets,Portable Projector,153.22,23,3524.06,3.7,7,Canada,Wayfair
13/04/2024,Wellness,Aromatherapy Diffuser,810.02,21,17010.42,4.1,9,USA,Urban Ladder
05/05/2024,Fashion,Leather Jacket,792.73,13,10305.49,4.9,7,Australia,Williams-Sonoma
03/02/2025,Fashion,Running Shoes,996.13,30,29883.9,4.4,6,USA,Ashley Furniture
29/05/2024,Wellness,Yoga Mat,297.55,27,8033.85,4.7,6,Australia,Urban Ladder
25/04/2024,Fashion,Silk Scarf,205.96,52,10709.92,3.6,8,Canada,Williams-Sonoma
20/05/2024,Wellness,Aromatherapy Diffuser,336.51,56,18844.56,4.2,10,India,Wayfair
04/10/2024,Wellness,Yoga Mat,837.88,9,7540.92,4.1,8,USA,Urban Ladder
15/09/2024,Personal Care,Organic Skincare Set,849.57,19,16141.83,4.9,9,Australia,Urban Ladder
04/07/2024,Personal Care,Electric Toothbrush,582.99,8,4663.92,4.5,7,Canada,Urban Ladder
11/11/2024,Wellness,Yoga Mat,1126.18,49,55182.82,3.8,7,USA,Ashley Furniture
11/07/2024,Wellness,Smart Water Bottle,913.19,20,18263.8,3.9,4,Canada,Ashley Furniture
23/12/2024,Personal Care,Beard Grooming Kit,277.53,20,5550.6,5,1,Australia,Urban Ladder
12/05/2024,Gadgets,Smartwatch,432.03,36,15553.08,3.6,10,Canada,Williams-Sonoma
16/04/2024,Accessories,Backpack,385.55,29,11180.95,3.8,8,Australia,IKEA
17/06/2024,Fashion,Leather Jacket,191.04,46,8787.84,4.2,2,Germany,Wayfair
09/12/2024,Fashion,Leather Jacket,333.35,36,12000.6,4.8,10,Germany,Urban Ladder
06/07/2024,Accessories,Backpack,666.73,53,35336.69,3.7,3,USA,IKEA
18/07/2024,Gadgets,Smartwatch,298.36,27,8055.72,3.7,9,UK,Urban Ladder
08/11/2024,Accessories,Luxury Handbag,100.73,45,4532.85,4,10,USA,Ashley Furniture
31/01/2025,Fashion,Running Shoes,426.88,41,17502.08,4.5,5,USA,Ashley Furniture
12/09/2024,Fashion,Leather Jacket,904.39,27,24418.53,3.8,10,Germany,Ashley Furniture
17/10/2024,Personal Care,Organic Skincare Set,949.27,6,5695.62,4.4,5,Germany,Williams-Sonoma
03/09/2024,Fashion,Running Shoes,218.3,53,11569.9,3.9,8,USA,Ashley Furniture
09/06/2024,Fashion,Running Shoes,1054.05,51,53756.55,5,10,Germany,Urban Ladder
17/10/2024,Accessories,Luxury Handbag,195.85,41,8029.85,5,9,Canada,Williams-Sonoma
29/08/2024,Accessories,Luxury Handbag,695.19,55,38235.45,4.2,6,Australia,Ashley Furniture
19/06/2024,Wellness,Yoga Mat,148.17,2,296.34,4,2,Germany,Urban Ladder
12/04/2024,Fashion,Running Shoes,964.82,12,11577.84,3.6,2,Canada,Wayfair
17/06/2024,Personal Care,Organic Skincare Set,48.07,21,1009.47,3.7,6,UK,Wayfair
30/12/2024,Fashion,Running Shoes,25.87,16,413.92,4.1,1,Germany,Urban Ladder
23/07/2024,Wellness,Yoga Mat,36.22,29,1050.38,4.6,9,USA,Williams-Sonoma
09/10/2024,Gadgets,Smartwatch,218.12,31,6761.72,3.7,5,Germany,Wayfair
02/10/2024,Wellness,Smart Water Bottle,403.27,20,8065.4,3.9,6,Canada,Ashley Furniture
10/10/2024,Personal Care,Beard Grooming Kit,78.71,5,393.55,5,3,India,IKEA
04/03/2024,Fashion,Running Shoes,983.65,58,57051.7,4.6,6,USA,Urban Ladder
03/03/2024,Gadgets,Portable Projector,670.42,28,18771.76,4.1,5,Canada,IKEA
14/03/2024,Fashion,Running Shoes,108.78,44,4786.32,3.9,2,Australia,Wayfair
23/09/2024,Gadgets,Smartwatch,802.98,21,16862.58,4.3,2,USA,Wayfair
01/11/2024,Personal Care,Beard Grooming Kit,853.15,14,11944.1,4.5,5,Germany,Wayfair
02/08/2024,Accessories,Backpack,1146.71,11,12613.81,4.5,9,Germany,Williams-Sonoma
12/07/2024,Accessories,Backpack,662.63,42,27830.46,3.9,5,Canada,Ashley Furniture
17/10/2024,Personal Care,Electric Toothbrush,376.94,19,7161.86,4.2,8,USA,Urban Ladder
01/01/2025,Accessories,Luxury Handbag,287.95,47,13533.65,5,10,Canada,Williams-Sonoma
09/01/2025,Accessories,Luxury Handbag,37.47,54,2023.38,4.4,6,USA,Ashley Furniture
29/10/2024,Gadgets,Portable Projector,876.56,36,31556.16,4,1,India,Williams-Sonoma
27/06/2024,Wellness,Aromatherapy Diffuser,727.36,55,40004.8,4.5,1,USA,IKEA
08/10/2024,Accessories,Backpack,229.04,8,1832.32,3.6,10,USA,Ashley Furniture
28/07/2024,Gadgets,Noise Cancelling Headphones,925.54,5,4627.7,4,4,India,Ashley Furniture
23/05/2024,Personal Care,Electric Toothbrush,884.2,5,4421,4.8,7,Germany,Ashley Furniture
29/08/2024,Personal Care,Beard Grooming Kit,934.83,50,46741.5,4.3,5,Australia,Wayfair
18/10/2024,Fashion,Running Shoes,435.23,33,14362.59,4.7,5,USA,Urban Ladder
18/06/2024,Fashion,Running Shoes,55.16,60,3309.6,3.8,7,USA,Wayfair
18/05/2024,Accessories,Sunglasses,1156.99,38,43965.62,4.8,10,India,Urban Ladder
23/06/2024,Wellness,Aromatherapy Diffuser,121.68,40,4867.2,4.2,4,Germany,IKEA
30/12/2024,Gadgets,Noise Cancelling Headphones,736.42,4,2945.68,3.9,3,Germany,Williams-Sonoma
20/10/2024,Gadgets,Portable Projector,256.5,44,11286,4.3,6,Germany,Ashley Furniture
11/07/2024,Personal Care,Electric Toothbrush,894.97,14,12529.58,4.2,4,Germany,Wayfair
30/12/2024,Wellness,Smart Water Bottle,344.7,35,12064.5,3.9,2,Germany,Williams-Sonoma
22/12/2024,Accessories,Sunglasses,1012.5,6,6075,3.7,8,USA,Williams-Sonoma
21/03/2024,Fashion,Silk Scarf,566.35,10,5663.5,4.8,8,India,IKEA
23/09/2024,Fashion,Leather Jacket,1101.89,27,29751.03,3.6,8,India,Wayfair
30/12/2024,Fashion,Running Shoes,683.67,57,38969.19,4.5,7,USA,Wayfair
18/07/2024,Wellness,Aromatherapy Diffuser,932.66,12,11191.92,3.8,6,USA,Ashley Furniture
08/06/2024,Fashion,Running Shoes,1172.37,37,43377.69,3.8,1,Australia,IKEA
09/05/2024,Gadgets,Noise Cancelling Headphones,288.42,34,9806.28,4.2,8,Germany,IKEA
29/03/2024,Fashion,Silk Scarf,311.83,12,3741.96,4.1,2,Australia,Ashley Furniture
13/04/2024,Accessories,Sunglasses,420.28,28,11767.84,4,4,Germany,IKEA
06/01/2025,Fashion,Leather Jacket,1181.4,49,57888.6,3.7,3,USA,IKEA
28/06/2024,Accessories,Backpack,627.15,19,11915.85,3.9,7,UK,Williams-Sonoma
22/02/2024,Wellness,Aromatherapy Diffuser,514.65,59,30364.35,4.6,8,UK,IKEA
09/05/2024,Wellness,Yoga Mat,507.65,21,10660.65,4.1,9,USA,Ashley Furniture
04/01/2025,Accessories,Backpack,789.3,41,32361.3,4.6,6,Germany,Williams-Sonoma
08/01/2025,Wellness,Aromatherapy Diffuser,1023.97,55,56318.35,4.4,1,Canada,Williams-Sonoma
25/05/2024,Gadgets,Smartwatch,929.93,58,53935.94,4.4,8,USA,Wayfair
02/04/2024,Gadgets,Portable Projector,51.35,58,2978.3,4.2,2,Australia,Williams-Sonoma
29/08/2024,Wellness,Smart Water Bottle,564.15,55,31028.25,4.8,4,Australia,Wayfair
12/08/2024,Fashion,Silk Scarf,817.98,46,37627.08,3.9,4,Australia,IKEA
27/10/2024,Fashion,Silk Scarf,865.36,38,32883.68,4,7,Canada,IKEA
03/05/2024,Wellness,Smart Water Bottle,290.62,37,10752.94,4.9,2,USA,Urban Ladder
19/06/2024,Fashion,Leather Jacket,981.64,31,30430.84,4.9,2,USA,Ashley Furniture
01/11/2024,Accessories,Backpack,1144.75,37,42355.75,4,10,India,Urban Ladder
12/06/2024,Accessories,Sunglasses,820.71,28,22979.88,3.6,4,Germany,Urban Ladder
17/01/2025,Fashion,Silk Scarf,735.69,47,34577.43,3.7,5,Canada,Williams-Sonoma
26/11/2024,Gadgets,Smartwatch,174.72,10,1747.2,4.8,7,India,Williams-Sonoma
22/07/2024,Wellness,Smart Water Bottle,235.68,42,9898.56,4.1,10,UK,Ashley Furniture
22/01/2025,Gadgets,Portable Projector,752.57,31,23329.67,4.6,8,USA,Wayfair
11/07/2024,Gadgets,Noise Cancelling Headphones,765.08,52,39784.16,3.8,7,UK,Ashley Furniture
12/10/2024,Personal Care,Electric Toothbrush,331.36,42,13917.12,4.2,5,UK,Urban Ladder
14/10/2024,Accessories,Luxury Handbag,278.33,6,1669.98,4.6,1,Canada,Urban Ladder
14/04/2024,Wellness,Aromatherapy Diffuser,674.35,16,10789.6,4,1,UK,Ashley Furniture
23/11/2024,Gadgets,Portable Projector,519.44,30,15583.2,4.1,5,Canada,Ashley Furniture
19/03/2024,Fashion,Silk Scarf,144.24,26,3750.24,4.5,6,India,Urban Ladder
07/08/2024,Accessories,Luxury Handbag,1153.6,42,48451.2,4.8,2,USA,Urban Ladder
02/01/2025,Gadgets,Noise Cancelling Headphones,912.64,54,49282.56,4.2,9,USA,IKEA
31/12/2024,Personal Care,Electric Toothbrush,343.81,60,20628.6,4.9,6,Germany,Urban Ladder
17/05/2024,Wellness,Aromatherapy Diffuser,130.92,50,6546,4.5,9,Australia,Urban Ladder
12/10/2024,Wellness,Aromatherapy Diffuser,202.66,31,6282.46,3.7,2,Australia,IKEA
04/08/2024,Personal Care,Electric Toothbrush,1126,13,14638,4,10,Canada,IKEA
10/05/2024,Accessories,Sunglasses,603.44,45,27154.8,4.7,9,Australia,Williams-Sonoma
24/03/2024,Personal Care,Electric Toothbrush,925.5,26,24063,4,6,Canada,IKEA
15/04/2024,Accessories,Backpack,1117.63,1,1117.63,4,3,UK,Wayfair
19/01/2025,Wellness,Aromatherapy Diffuser,754.58,31,23391.98,5,9,Germany,Ashley Furniture
24/03/2024,Wellness,Aromatherapy Diffuser,84.15,20,1683,4.6,6,Australia,Urban Ladder
24/08/2024,Fashion,Running Shoes,994.79,14,13927.06,3.9,2,India,Urban Ladder
16/07/2024,Fashion,Running Shoes,934.36,24,22424.64,4.5,3,USA,Williams-Sonoma
12/06/2024,Wellness,Smart Water Bottle,454.33,4,1817.32,4.6,7,Australia,Ashley Furniture
29/01/2025,Personal Care,Organic Skincare Set,531.66,9,4784.94,4.3,10,Germany,IKEA
24/08/2024,Personal Care,Organic Skincare Set,1053.48,40,42139.2,4.2,10,UK,Wayfair
19/03/2024,Gadgets,Smartwatch,154.63,13,2010.19,4,7,USA,Williams-Sonoma
02/04/2024,Wellness,Smart Water Bottle,791.65,59,46707.35,4.2,2,Australia,Urban Ladder
03/06/2024,Accessories,Luxury Handbag,168.56,48,8090.88,4.6,3,Germany,Urban Ladder
01/04/2024,Wellness,Yoga Mat,1087.1,17,18480.7,4.3,10,UK,IKEA
08/09/2024,Gadgets,Portable Projector,952.63,34,32389.42,4.4,4,USA,IKEA
14/04/2024,Gadgets,Smartwatch,871.35,53,46181.55,4.8,3,India,Wayfair
08/04/2024,Accessories,Luxury Handbag,935.75,48,44916,4.9,8,USA,Williams-Sonoma
17/10/2024,Accessories,Luxury Handbag,82.12,6,492.72,4.8,3,Germany,Williams-Sonoma
10/08/2024,Fashion,Running Shoes,1026.91,24,24645.84,4.8,8,UK,Ashley Furniture
04/09/2024,Accessories,Luxury Handbag,851.76,44,37477.44,4.5,9,Germany,Ashley Furniture
16/12/2024,Fashion,Silk Scarf,732.14,56,40999.84,4.7,8,Germany,Williams-Sonoma
04/09/2024,Personal Care,Organic Skincare Set,250.33,36,9011.88,4.8,8,USA,Williams-Sonoma
05/11/2024,Gadgets,Noise Cancelling Headphones,769.41,19,14618.79,4.6,10,Canada,IKEA
24/02/2024,Accessories,Luxury Handbag,1103.5,50,55175,4.4,6,Australia,Williams-Sonoma
22/03/2024,Personal Care,Organic Skincare Set,50.15,47,2357.05,4.1,2,India,Williams-Sonoma
06/09/2024,Accessories,Backpack,38.34,39,1495.26,4.3,8,USA,Urban Ladder
10/03/2024,Wellness,Yoga Mat,853.5,16,13656,4.2,4,Canada,Ashley Furniture
02/04/2024,Gadgets,Noise Cancelling Headphones,651.08,48,31251.84,3.6,8,USA,IKEA
04/01/2025,Wellness,Aromatherapy Diffuser,403.88,25,10097,4.9,2,Australia,Ashley Furniture
01/05/2024,Accessories,Luxury Handbag,279.26,37,10332.62,3.6,4,Germany,Ashley Furniture
03/01/2025,Gadgets,Portable Projector,242.92,13,3157.96,4.6,8,Germany,Williams-Sonoma
01/03/2024,Personal Care,Electric Toothbrush,112.05,19,2128.95,3.7,8,Canada,IKEA
05/06/2024,Accessories,Sunglasses,1099.23,31,34076.13,3.7,2,India,Urban Ladder
27/03/2024,Wellness,Aromatherapy Diffuser,636.79,44,28018.76,3.9,4,UK,Wayfair
01/11/2024,Fashion,Running Shoes,773.96,36,27862.56,3.6,5,UK,Williams-Sonoma
04/05/2024,Personal Care,Electric Toothbrush,1029.8,20,20596,4.7,6,Canada,Ashley Furniture
02/03/2024,Gadgets,Smartwatch,59.6,50,2980,3.6,9,Australia,IKEA
15/04/2024,Accessories,Backpack,552.69,12,6632.28,4.9,1,Canada,Ashley Furniture
20/01/2025,Fashion,Silk Scarf,740.66,30,22219.8,4,8,Germany,IKEA
24/07/2024,Personal Care,Beard Grooming Kit,112.79,55,6203.45,4.8,6,Canada,Williams-Sonoma
13/06/2024,Accessories,Luxury Handbag,1070.54,56,59950.24,4.1,10,UK,Urban Ladder
31/03/2024,Personal Care,Beard Grooming Kit,1078.92,45,48551.4,4.4,9,UK,Wayfair
27/04/2024,Fashion,Silk Scarf,1196.8,10,11968,4.6,6,India,Wayfair
23/12/2024,Gadgets,Noise Cancelling Headphones,318.63,24,7647.12,4.8,6,USA,Wayfair
05/09/2024,Fashion,Leather Jacket,665.14,16,10642.24,4.1,9,USA,Wayfair
