Date,Product Category,Product Name,Price (USD),Units Sold,Revenue (USD),Customer Rating,Sustainability Score,Region,Competitor Name
05/11/2024,Rugs & Carpets,Modern Carpet,952.64,55,52395.2,3.5,8,Canada,IKEA
26/09/2024,Wall Art,Metal Wall Sculpture,461.22,49,22599.78,3.6,3,USA,Wayfair
08/02/2024,Rugs & Carpets,Persian Rug,407.58,29,11819.82,3.7,3,Germany,Urban Ladder
24/08/2024,Storage,Shoe Rack,916.63,27,24749.01,3.8,10,Australia,Ashley Furniture
23/03/2024,Lighting,Chandelier,500.24,5,2501.2,3.6,5,UK,Ashley Furniture
15/09/2024,Storage,Bookshelf,905.85,51,46198.35,4.7,5,USA,IKEA
28/03/2024,Rugs & Carpets,Persian Rug,956.55,30,28696.5,4.5,10,USA,Wayfair
24/09/2024,Lighting,Table Lamp,578.78,17,9839.26,4.9,1,India,IKEA
04/11/2024,Wall Art,Framed Photograph,58.07,2,116.14,4.6,9,Germany,Ashley Furniture
21/02/2024,Rugs & Carpets,Modern Carpet,476.82,33,15735.06,3.8,2,USA,Urban Ladder
11/07/2024,Wall Art,Canvas Painting,175.63,19,3336.97,4.3,3,USA,Ashley Furniture
14/01/2025,Storage,Shoe Rack,388.28,10,3882.8,3.6,1,UK,Ashley Furniture
08/05/2024,Furniture,Recliner Sofa,824.96,31,25573.76,4.9,3,India,Ashley Furniture
16/08/2024,Wall Art,Metal Wall Sculpture,541.38,32,17324.16,4.5,6,UK,Ashley Furniture
08/03/2024,Wall Art,Canvas Painting,634.25,25,15856.25,4.1,8,USA,Wayfair
18/09/2024,Storage,Wall-mounted Cabinet,523.99,13,6811.87,5,5,UK,IKEA
20/04/2024,Furniture,Recliner Sofa,667.36,49,32700.64,4.4,4,India,Ashley Furniture
28/10/2024,Furniture,Recliner Sofa,174.99,9,1574.91,5,9,Germany,IKEA
09/11/2024,Lighting,Table Lamp,849.95,2,1699.9,4.9,4,Canada,Urban Ladder
23/03/2024,Storage,Wall-mounted Cabinet,602.86,6,3617.16,4.5,1,India,Williams-Sonoma
25/03/2024,Rugs & Carpets,Modern Carpet,495.65,25,12391.25,4,3,Australia,Wayfair
14/06/2024,Rugs & Carpets,Persian Rug,1036.62,16,16585.92,4.7,4,Germany,IKEA
27/12/2024,Wall Art,Metal Wall Sculpture,525.12,12,6301.44,3.5,7,USA,Urban Ladder
16/06/2024,Lighting,Chandelier,243.67,26,6335.42,4.4,6,USA,Urban Ladder
28/05/2024,Storage,Shoe Rack,382.37,31,11853.47,4.7,7,Australia,Urban Ladder
01/02/2025,Wall Art,Metal Wall Sculpture,558.43,13,7259.59,4.9,6,Canada,Wayfair
01/11/2024,Lighting,Table Lamp,117.26,52,6097.52,4.7,2,Germany,Wayfair
17/05/2024,Wall Art,Canvas Painting,252.59,27,6819.93,4,6,India,Urban Ladder
24/10/2024,Lighting,LED Floor Lamp,934.23,15,14013.45,4.4,3,Australia,Williams-Sonoma
03/08/2024,Lighting,Table Lamp,146.14,19,2776.66,4.2,1,Germany,Urban Ladder
06/09/2024,Wall Art,Framed Photograph,745.8,28,20882.4,4.1,7,USA,Wayfair
18/03/2024,Wall Art,Canvas Painting,165.28,32,5288.96,5,3,UK,Ashley Furniture
05/10/2024,Storage,Shoe Rack,972.19,18,17499.42,4.8,7,Australia,Wayfair
09/07/2024,Wall Art,Canvas Painting,295.94,23,6806.62,3.5,4,USA,Ashley Furniture
17/01/2025,Rugs & Carpets,Jute Rug,482.44,1,482.44,4,9,Australia,Wayfair
26/10/2024,Furniture,Recliner Sofa,849.71,58,49283.18,4,4,USA,Ashley Furniture
15/11/2024,Wall Art,Canvas Painting,386.53,36,13915.08,3.6,3,Canada,Urban Ladder
13/07/2024,Storage,Bookshelf,967.2,37,35786.4,4.4,10,Australia,Urban Ladder
09/01/2025,Rugs & Carpets,Jute Rug,993.19,18,17877.42,4,4,UK,Urban Ladder
16/05/2024,Storage,Shoe Rack,1153.82,26,29999.32,3.6,10,Germany,Ashley Furniture
12/10/2024,Lighting,Table Lamp,19.93,28,558.04,4.4,3,Australia,Williams-Sonoma
04/04/2024,Storage,Wall-mounted Cabinet,583.32,19,11083.08,4.4,5,USA,Williams-Sonoma
02/09/2024,Wall Art,Canvas Painting,528.79,43,22737.97,4.7,7,Germany,Wayfair
31/10/2024,Lighting,Chandelier,472.87,32,15131.84,3.5,10,India,Ashley Furniture
11/06/2024,Rugs & Carpets,Persian Rug,39.79,50,1989.5,4.8,9,India,IKEA
29/04/2024,Furniture,Wooden Dining Table,923.11,56,51694.16,4.9,6,Canada,Ashley Furniture
05/04/2024,Lighting,Chandelier,565.11,17,9606.87,5,3,Germany,Williams-Sonoma
03/01/2025,Rugs & Carpets,Modern Carpet,808.46,46,37189.16,3.7,8,Australia,Urban Ladder
08/11/2024,Lighting,Chandelier,541.59,60,32495.4,4.8,7,USA,Urban Ladder
06/09/2024,Lighting,Chandelier,78.27,58,4539.66,4,6,Canada,Ashley Furniture
10/10/2024,Furniture,Wooden Dining Table,1122.63,49,55008.87,3.6,9,Germany,Wayfair
28/08/2024,Rugs & Carpets,Modern Carpet,883.48,13,11485.24,4.7,9,India,IKEA
13/09/2024,Lighting,Chandelier,270.87,2,541.74,4.6,3,Australia,Ashley Furniture
28/10/2024,Furniture,Wooden Dining Table,859.12,4,3436.48,5,10,Australia,IKEA
12/01/2025,Rugs & Carpets,Persian Rug,155.62,7,1089.34,4.9,10,UK,IKEA
03/05/2024,Lighting,Chandelier,474.17,6,2845.02,3.6,4,UK,IKEA
12/01/2025,Rugs & Carpets,Jute Rug,940.64,47,44210.08,4.3,9,USA,Urban Ladder
06/03/2024,Furniture,Glass Coffee Table,696.68,5,3483.4,3.6,1,Canada,IKEA
02/02/2025,Wall Art,Metal Wall Sculpture,168.7,27,4554.9,4.5,8,Canada,Urban Ladder
29/06/2024,Rugs & Carpets,Modern Carpet,304.09,58,17637.22,4.8,7,UK,Wayfair
12/08/2024,Storage,Wall-mounted Cabinet,1062.29,3,3186.87,4.6,6,USA,IKEA
10/11/2024,Storage,Wall-mounted Cabinet,1136.27,45,51132.15,3.9,10,Germany,Wayfair
04/09/2024,Rugs & Carpets,Jute Rug,593.82,56,33253.92,5,1,Germany,Urban Ladder
21/05/2024,Wall Art,Metal Wall Sculpture,121.41,20,2428.2,3.8,4,USA,Williams-Sonoma
05/02/2025,Furniture,Wooden Dining Table,939.76,16,15036.16,4.3,9,Australia,IKEA
03/10/2024,Wall Art,Canvas Painting,666.95,8,5335.6,4.6,9,Germany,Wayfair
25/04/2024,Rugs & Carpets,Persian Rug,37.3,33,1230.9,3.9,9,UK,IKEA
15/03/2024,Wall Art,Metal Wall Sculpture,311.97,44,13726.68,4.6,6,India,Williams-Sonoma
08/07/2024,Rugs & Carpets,Persian Rug,542.71,5,2713.55,4.1,9,India,Urban Ladder
16/06/2024,Lighting,Table Lamp,1128.36,3,3385.08,4.1,4,Canada,Wayfair
06/07/2024,Furniture,Recliner Sofa,795.4,34,27043.6,4,9,India,IKEA
31/05/2024,Furniture,Glass Coffee Table,139.75,17,2375.75,4.7,9,Canada,Wayfair
14/06/2024,Furniture,Recliner Sofa,514.41,36,18518.76,4.1,6,USA,Williams-Sonoma
13/06/2024,Furniture,Glass Coffee Table,989.25,23,22752.75,4.5,3,India,Williams-Sonoma
02/07/2024,Lighting,LED Floor Lamp,51.33,5,256.65,4.5,9,Australia,Wayfair
26/03/2024,Storage,Shoe Rack,588.38,48,28242.24,3.9,2,USA,Wayfair
22/04/2024,Rugs & Carpets,Modern Carpet,491.11,17,8348.87,4.8,9,UK,Wayfair
12/02/2024,Lighting,Table Lamp,717.57,5,3587.85,4,7,USA,Urban Ladder
13/03/2024,Rugs & Carpets,Jute Rug,136.06,55,7483.3,4.6,4,USA,Williams-Sonoma
06/09/2024,Wall Art,Canvas Painting,1112.55,32,35601.6,3.8,9,USA,Williams-Sonoma
03/01/2025,Lighting,LED Floor Lamp,889.56,4,3558.24,4.9,4,Australia,Ashley Furniture
28/01/2025,Rugs & Carpets,Jute Rug,947.18,30,28415.4,4,1,Germany,Wayfair
09/02/2024,Storage,Bookshelf,802,50,40100,4.8,1,USA,Williams-Sonoma
16/03/2024,Rugs & Carpets,Persian Rug,1080.32,30,32409.6,4.3,6,UK,Urban Ladder
12/05/2024,Furniture,Wooden Dining Table,339.63,58,19698.54,3.6,5,USA,IKEA
29/09/2024,Storage,Shoe Rack,606.46,41,24864.86,3.7,2,USA,Wayfair
21/10/2024,Lighting,Table Lamp,234.46,10,2344.6,4.3,2,UK,Ashley Furniture
19/05/2024,Lighting,Table Lamp,322.43,32,10317.76,3.9,7,Canada,Ashley Furniture
08/03/2024,Wall Art,Canvas Painting,1074.19,53,56932.07,4,5,UK,Ashley Furniture
04/09/2024,Lighting,Chandelier,1073.83,57,61208.31,4.9,5,Germany,Ashley Furniture
30/11/2024,Storage,Shoe Rack,437.7,8,3501.6,4.9,10,UK,Williams-Sonoma
21/10/2024,Lighting,LED Floor Lamp,256.78,9,2311.02,4.1,3,Canada,Wayfair
30/03/2024,Furniture,Glass Coffee Table,175.79,4,703.16,4.4,6,USA,Wayfair
08/01/2025,Lighting,LED Floor Lamp,252.64,38,9600.32,4,3,Canada,IKEA
14/05/2024,Rugs & Carpets,Jute Rug,339.37,34,11538.58,4.8,2,Australia,Urban Ladder
24/07/2024,Furniture,Recliner Sofa,436.34,21,9163.14,4.7,3,UK,Ashley Furniture
12/08/2024,Wall Art,Metal Wall Sculpture,1041.88,50,52094,4.2,10,UK,Williams-Sonoma
31/05/2024,Lighting,Table Lamp,497.64,41,20403.24,4.4,6,Australia,Williams-Sonoma
21/09/2024,Lighting,Chandelier,96.33,10,963.3,5,4,Canada,Williams-Sonoma
28/12/2024,Storage,Bookshelf,377.72,50,18886,3.8,5,UK,IKEA
20/06/2024,Rugs & Carpets,Persian Rug,971.8,30,29154,4.9,3,Canada,Williams-Sonoma
17/12/2024,Wall Art,Metal Wall Sculpture,633.59,49,31045.91,4.5,7,Germany,Wayfair
16/01/2025,Wall Art,Metal Wall Sculpture,150.6,31,4668.6,4.7,7,Canada,Urban Ladder
12/10/2024,Furniture,Recliner Sofa,539.25,33,17795.25,3.7,1,India,Wayfair
21/03/2024,Wall Art,Framed Photograph,1000.26,28,28007.28,4.6,5,USA,Ashley Furniture
12/03/2024,Wall Art,Metal Wall Sculpture,150.19,38,5707.22,3.9,2,Australia,Williams-Sonoma
13/04/2024,Lighting,Table Lamp,791.55,18,14247.9,4.9,5,Germany,Ashley Furniture
17/05/2024,Storage,Bookshelf,19.03,51,970.53,4.4,1,Canada,Williams-Sonoma
15/11/2024,Storage,Shoe Rack,233.77,42,9818.34,3.9,1,Germany,IKEA
25/10/2024,Lighting,Chandelier,1026.93,20,20538.6,4.2,1,Canada,Williams-Sonoma
06/02/2025,Rugs & Carpets,Modern Carpet,686.3,5,3431.5,3.9,6,USA,IKEA
12/08/2024,Rugs & Carpets,Jute Rug,388.05,2,776.1,4.2,5,USA,Williams-Sonoma
04/09/2024,Lighting,Chandelier,667.42,13,8676.46,3.8,1,UK,Williams-Sonoma
25/01/2025,Rugs & Carpets,Modern Carpet,765.25,19,14539.75,3.8,6,Australia,Williams-Sonoma
08/11/2024,Lighting,Table Lamp,1189.69,36,42828.84,3.6,3,USA,Ashley Furniture
27/04/2024,Lighting,Table Lamp,509.98,45,22949.1,4.4,8,USA,Williams-Sonoma
24/12/2024,Storage,Shoe Rack,664.23,3,1992.69,4.6,10,Australia,Wayfair
11/04/2024,Lighting,LED Floor Lamp,349.73,16,5595.68,3.5,6,Australia,IKEA
21/09/2024,Wall Art,Canvas Painting,1157.8,28,32418.4,4.6,8,Canada,Wayfair
09/03/2024,Storage,Shoe Rack,756.61,6,4539.66,4.8,10,India,Wayfair
22/12/2024,Furniture,Wooden Dining Table,598.02,26,15548.52,4.3,2,Germany,Urban Ladder
30/06/2024,Wall Art,Framed Photograph,705.23,51,35966.73,4.2,5,Canada,Williams-Sonoma
01/11/2024,Storage,Shoe Rack,319.61,32,10227.52,4,9,UK,IKEA
06/03/2024,Rugs & Carpets,Persian Rug,1070.54,52,55668.08,4.3,9,Canada,Williams-Sonoma
17/12/2024,Lighting,Chandelier,1027.47,50,51373.5,4.4,5,UK,IKEA
22/10/2024,Wall Art,Canvas Painting,1130.09,23,25992.07,3.6,9,USA,Ashley Furniture
21/01/2025,Storage,Wall-mounted Cabinet,766,22,16852,3.5,9,UK,Ashley Furniture
25/07/2024,Storage,Bookshelf,1028.48,28,28797.44,4.2,4,Australia,Williams-Sonoma
28/01/2025,Storage,Shoe Rack,497.79,45,22400.55,4.2,5,Australia,Urban Ladder
29/11/2024,Furniture,Recliner Sofa,98.84,17,1680.28,4.3,2,Germany,Ashley Furniture
02/06/2024,Lighting,Table Lamp,467.13,6,2802.78,4.2,9,USA,Urban Ladder
28/05/2024,Wall Art,Canvas Painting,845.1,15,12676.5,3.8,3,Canada,Urban Ladder
04/03/2024,Wall Art,Canvas Painting,181.76,21,3816.96,4.6,9,India,IKEA
30/08/2024,Lighting,LED Floor Lamp,930.88,8,7447.04,3.9,1,India,Ashley Furniture
14/02/2024,Storage,Shoe Rack,1130.87,14,15832.18,4.3,1,Germany,Urban Ladder
08/04/2024,Storage,Shoe Rack,428.16,10,4281.6,3.8,8,Canada,Urban Ladder
12/05/2024,Storage,Shoe Rack,260.92,49,12785.08,4.2,1,USA,IKEA
02/09/2024,Lighting,LED Floor Lamp,879.48,51,44853.48,3.9,2,Germany,Williams-Sonoma
29/11/2024,Lighting,Table Lamp,113.2,9,1018.8,3.8,1,Australia,Wayfair
11/04/2024,Wall Art,Framed Photograph,243.5,10,2435,4.1,2,India,Urban Ladder
05/12/2024,Furniture,Wooden Dining Table,668.25,54,36085.5,4.8,8,Germany,Wayfair
28/10/2024,Rugs & Carpets,Persian Rug,711.19,23,16357.37,5,1,Australia,Urban Ladder
25/02/2024,Storage,Bookshelf,916.29,26,23823.54,3.5,9,Australia,Williams-Sonoma
05/05/2024,Rugs & Carpets,Jute Rug,558.89,6,3353.34,4.1,5,Australia,Ashley Furniture
11/10/2024,Wall Art,Metal Wall Sculpture,135.85,45,6113.25,4.3,5,India,Wayfair
25/10/2024,Furniture,Wooden Dining Table,173.99,35,6089.65,3.6,8,India,Urban Ladder
06/07/2024,Storage,Bookshelf,613.79,4,2455.16,4.1,7,Australia,Wayfair
16/05/2024,Storage,Shoe Rack,546.44,33,18032.52,4.2,10,UK,Williams-Sonoma
20/11/2024,Wall Art,Framed Photograph,80.27,56,4495.12,4.7,7,UK,Urban Ladder
16/12/2024,Lighting,Chandelier,486.33,58,28207.14,4.7,4,India,Wayfair
24/11/2024,Furniture,Glass Coffee Table,843.67,39,32903.13,4.7,7,Canada,Williams-Sonoma
22/05/2024,Lighting,LED Floor Lamp,978.34,27,26415.18,4.4,5,India,Wayfair
20/01/2025,Rugs & Carpets,Modern Carpet,267.69,45,12046.05,4.4,5,USA,Wayfair
01/08/2024,Lighting,Table Lamp,408.72,7,2861.04,5,8,UK,IKEA
30/11/2024,Rugs & Carpets,Jute Rug,488.95,49,23958.55,4.2,3,Australia,Ashley Furniture
13/12/2024,Storage,Wall-mounted Cabinet,254.81,53,13504.93,3.7,10,UK,IKEA
19/09/2024,Wall Art,Framed Photograph,396.32,38,15060.16,4.4,9,USA,Ashley Furniture
10/08/2024,Rugs & Carpets,Persian Rug,526.77,35,18436.95,4.1,2,Germany,Ashley Furniture
25/07/2024,Furniture,Wooden Dining Table,721.31,48,34622.88,4.2,9,UK,Wayfair
25/06/2024,Furniture,Wooden Dining Table,661.47,11,7276.17,4.6,8,Canada,Williams-Sonoma
09/05/2024,Wall Art,Framed Photograph,858.84,40,34353.6,3.5,4,Germany,Urban Ladder
06/01/2025,Furniture,Glass Coffee Table,473.73,29,13738.17,4.2,2,India,IKEA
19/04/2024,Wall Art,Framed Photograph,1169.53,40,46781.2,4.4,10,India,Wayfair
26/05/2024,Lighting,Chandelier,478.83,58,27772.14,4.8,2,USA,IKEA
16/08/2024,Rugs & Carpets,Jute Rug,570.31,18,10265.58,4.2,8,USA,Williams-Sonoma
15/12/2024,Rugs & Carpets,Persian Rug,670.52,45,30173.4,4.9,1,India,IKEA
03/06/2024,Rugs & Carpets,Persian Rug,155.71,11,1712.81,4.7,8,Canada,Wayfair
11/02/2024,Furniture,Recliner Sofa,832.74,56,46633.44,3.9,10,Germany,IKEA
01/09/2024,Furniture,Wooden Dining Table,805.06,15,12075.9,4,5,Germany,Ashley Furniture
24/09/2024,Storage,Wall-mounted Cabinet,1036.92,7,7258.44,3.7,3,Germany,Williams-Sonoma
14/06/2024,Furniture,Glass Coffee Table,16.34,31,506.54,4.7,10,Canada,Ashley Furniture
21/06/2024,Wall Art,Metal Wall Sculpture,722.49,34,24564.66,4.9,9,UK,Urban Ladder
14/05/2024,Lighting,LED Floor Lamp,387.84,20,7756.8,4,10,India,Williams-Sonoma
12/05/2024,Wall Art,Metal Wall Sculpture,325.42,38,12365.96,4.6,3,UK,Urban Ladder
25/03/2024,Lighting,Chandelier,404.89,29,11741.81,4.1,1,Germany,Wayfair
30/03/2024,Rugs & Carpets,Persian Rug,622.5,15,9337.5,4.6,7,Australia,Williams-Sonoma
13/09/2024,Furniture,Glass Coffee Table,41.25,48,1980,4.4,6,Canada,Ashley Furniture
14/01/2025,Rugs & Carpets,Jute Rug,267.9,2,535.8,3.7,10,India,Ashley Furniture
02/02/2025,Furniture,Wooden Dining Table,1088.53,3,3265.59,3.9,8,Canada,Wayfair
18/02/2024,Furniture,Recliner Sofa,141.18,31,4376.58,3.8,1,Canada,IKEA
04/11/2024,Lighting,LED Floor Lamp,924.34,25,23108.5,4.8,10,India,Williams-Sonoma
03/11/2024,Lighting,LED Floor Lamp,1049.66,20,20993.2,4.2,10,Germany,Wayfair
13/10/2024,Wall Art,Metal Wall Sculpture,757.22,41,31046.02,3.5,4,USA,Williams-Sonoma
21/01/2025,Furniture,Wooden Dining Table,859.05,45,38657.25,3.7,3,USA,Ashley Furniture
05/08/2024,Storage,Shoe Rack,549.08,1,549.08,4.8,6,India,IKEA
30/01/2025,Lighting,Table Lamp,149.01,32,4768.32,4,5,India,Ashley Furniture
05/02/2025,Wall Art,Metal Wall Sculpture,425.96,34,14482.64,4.7,2,India,Ashley Furniture
26/04/2024,Wall Art,Canvas Painting,1008.69,12,12104.28,3.7,7,Canada,Williams-Sonoma
30/11/2024,Wall Art,Framed Photograph,1087.37,11,11961.07,4.8,5,Germany,Wayfair
12/05/2024,Lighting,Chandelier,607.23,18,10930.14,4.6,4,India,Urban Ladder
22/11/2024,Lighting,Table Lamp,1070.97,24,25703.28,3.9,1,USA,Ashley Furniture
05/07/2024,Lighting,Table Lamp,1173.72,42,49296.24,4.9,6,Australia,Urban Ladder
08/05/2024,Storage,Bookshelf,1158.23,53,61386.19,4.3,9,USA,IKEA
23/07/2024,Wall Art,Canvas Painting,803.11,2,1606.22,4.3,9,UK,Urban Ladder
10/02/2024,Storage,Shoe Rack,341.89,49,16752.61,4.4,10,Canada,Urban Ladder
25/04/2024,Lighting,LED Floor Lamp,891.41,10,8914.1,4.1,6,Canada,Ashley Furniture
09/03/2024,Rugs & Carpets,Persian Rug,696,27,18792,4.4,5,Australia,IKEA
09/02/2024,Wall Art,Canvas Painting,1002.73,9,9024.57,4.6,10,India,Ashley Furniture
21/02/2024,Lighting,LED Floor Lamp,555.19,29,16100.51,3.9,8,USA,Williams-Sonoma
17/07/2024,Furniture,Glass Coffee Table,79.24,25,1981,4.4,9,India,Williams-Sonoma
21/07/2024,Furniture,Glass Coffee Table,464.44,52,24150.88,4.1,4,Australia,Urban Ladder
03/06/2024,Storage,Shoe Rack,630.09,28,17642.52,4.5,6,Australia,Williams-Sonoma
09/03/2024,Rugs & Carpets,Jute Rug,303.72,15,4555.8,4.2,10,India,Ashley Furniture
17/10/2024,Rugs & Carpets,Modern Carpet,1141.74,35,39960.9,4.7,10,Canada,Williams-Sonoma
17/05/2024,Furniture,Recliner Sofa,694.16,59,40955.44,5,10,Australia,Williams-Sonoma
21/04/2024,Wall Art,Canvas Painting,282.38,16,4518.08,3.6,5,Germany,Urban Ladder
16/12/2024,Rugs & Carpets,Persian Rug,177.81,14,2489.34,4.7,8,Germany,Ashley Furniture
24/12/2024,Furniture,Recliner Sofa,150.92,22,3320.24,4.9,1,Canada,IKEA
05/06/2024,Storage,Shoe Rack,201.58,6,1209.48,4.5,6,Australia,IKEA
21/08/2024,Storage,Bookshelf,1021.77,60,61306.2,4.3,8,Australia,IKEA
28/11/2024,Rugs & Carpets,Modern Carpet,448.71,56,25127.76,4.5,8,Germany,Ashley Furniture
26/12/2024,Lighting,Table Lamp,1050.45,19,19958.55,4.3,5,Germany,IKEA
07/06/2024,Furniture,Wooden Dining Table,605.15,21,12708.15,4.8,4,USA,Williams-Sonoma
14/08/2024,Lighting,Chandelier,320.06,17,5441.02,3.8,5,India,Urban Ladder
06/05/2024,Storage,Wall-mounted Cabinet,27.68,12,332.16,3.8,7,Germany,Wayfair
30/08/2024,Furniture,Wooden Dining Table,61.39,30,1841.7,4.3,3,Canada,Ashley Furniture
31/01/2025,Rugs & Carpets,Jute Rug,954.41,4,3817.64,4.4,6,India,Wayfair
26/09/2024,Lighting,Chandelier,430.65,43,18517.95,4.5,3,Canada,Wayfair
11/06/2024,Rugs & Carpets,Persian Rug,404.04,24,9696.96,4.3,1,Australia,Wayfair
08/11/2024,Lighting,LED Floor Lamp,781.52,4,3126.08,4.4,2,Germany,Williams-Sonoma
08/10/2024,Furniture,Recliner Sofa,1135.86,25,28396.5,4.8,8,UK,Urban Ladder
23/08/2024,Lighting,Table Lamp,98.56,49,4829.44,4.5,4,USA,Ashley Furniture
18/06/2024,Furniture,Recliner Sofa,235.11,8,1880.88,4.8,4,USA,Wayfair
10/07/2024,Rugs & Carpets,Modern Carpet,320.46,20,6409.2,4.4,3,UK,Urban Ladder
13/12/2024,Storage,Wall-mounted Cabinet,1168.27,4,4673.08,4.8,5,India,Williams-Sonoma
18/10/2024,Lighting,LED Floor Lamp,653.57,36,23528.52,3.9,4,Australia,Ashley Furniture
03/01/2025,Wall Art,Framed Photograph,866.27,17,14726.59,3.8,2,Australia,Williams-Sonoma
08/10/2024,Storage,Shoe Rack,124.08,54,6700.32,4.4,1,USA,IKEA
28/07/2024,Lighting,Table Lamp,849.71,37,31439.27,4.7,10,Canada,Wayfair
11/12/2024,Furniture,Glass Coffee Table,1197.6,26,31137.6,4.5,4,Germany,Wayfair
12/06/2024,Storage,Wall-mounted Cabinet,75.95,11,835.45,4.1,3,USA,Urban Ladder
08/08/2024,Rugs & Carpets,Modern Carpet,816.34,44,35918.96,3.8,10,UK,Williams-Sonoma
31/05/2024,Lighting,Chandelier,754.36,17,12824.12,3.7,10,India,Urban Ladder
01/08/2024,Lighting,Chandelier,973.79,27,26292.33,3.8,3,Canada,Urban Ladder
21/12/2024,Furniture,Glass Coffee Table,957.2,21,20101.2,4.3,4,Canada,Williams-Sonoma
27/02/2024,Rugs & Carpets,Jute Rug,667.65,22,14688.3,3.6,5,Germany,Urban Ladder
12/04/2024,Furniture,Glass Coffee Table,287.68,47,13520.96,3.7,4,Canada,IKEA
23/10/2024,Rugs & Carpets,Jute Rug,492.79,6,2956.74,3.6,9,Germany,IKEA
16/02/2024,Rugs & Carpets,Modern Carpet,940.95,12,11291.4,3.6,10,UK,Ashley Furniture
27/04/2024,Furniture,Wooden Dining Table,92.89,42,3901.38,4.6,6,India,IKEA
02/11/2024,Furniture,Recliner Sofa,347.02,16,5552.32,4.9,6,Germany,Wayfair
27/11/2024,Lighting,Table Lamp,1090.4,58,63243.2,4.3,1,Australia,IKEA
23/12/2024,Wall Art,Framed Photograph,36.29,17,616.93,4.9,6,Germany,Urban Ladder
29/07/2024,Furniture,Glass Coffee Table,197.41,34,6711.94,4.2,7,USA,Williams-Sonoma
08/05/2024,Storage,Shoe Rack,1102.16,17,18736.72,4,6,Germany,Wayfair
08/03/2024,Storage,Wall-mounted Cabinet,152.27,49,7461.23,3.5,3,Canada,Wayfair
23/11/2024,Wall Art,Canvas Painting,1105.37,33,36477.21,3.9,5,USA,Urban Ladder
30/03/2024,Furniture,Glass Coffee Table,1069.91,23,24607.93,3.6,1,India,Wayfair
17/02/2024,Furniture,Glass Coffee Table,1141.26,4,4565.04,4.6,2,India,Urban Ladder
05/02/2025,Lighting,Chandelier,1107.01,4,4428.04,4.9,7,Germany,Urban Ladder
19/10/2024,Storage,Wall-mounted Cabinet,901.94,11,9921.34,4.2,4,Australia,Wayfair
27/09/2024,Lighting,LED Floor Lamp,250.69,21,5264.49,4.7,2,India,IKEA
26/07/2024,Storage,Shoe Rack,362.18,60,21730.8,4.2,1,Canada,Ashley Furniture
27/05/2024,Furniture,Recliner Sofa,1195.66,23,27500.18,4.5,6,UK,Urban Ladder
03/08/2024,Rugs & Carpets,Modern Carpet,271.01,5,1355.05,3.6,7,USA,IKEA
02/09/2024,Lighting,LED Floor Lamp,85.15,14,1192.1,4.2,5,USA,Ashley Furniture
14/02/2024,Storage,Shoe Rack,247.13,3,741.39,4.8,8,India,IKEA
14/03/2024,Lighting,Chandelier,908.99,28,25451.72,4.4,10,Germany,IKEA
28/11/2024,Storage,Wall-mounted Cabinet,485.43,40,19417.2,4.7,9,USA,Urban Ladder
01/12/2024,Furniture,Wooden Dining Table,305.03,18,5490.54,3.8,2,Australia,Ashley Furniture
07/12/2024,Furniture,Recliner Sofa,424.27,29,12303.83,4.9,2,Australia,Ashley Furniture
20/04/2024,Furniture,Recliner Sofa,657.45,48,31557.6,4.7,3,Germany,Ashley Furniture
02/07/2024,Lighting,LED Floor Lamp,950.44,56,53224.64,4,3,India,IKEA
17/11/2024,Storage,Bookshelf,500.56,30,15016.8,4.6,6,USA,Ashley Furniture
11/05/2024,Furniture,Wooden Dining Table,999.43,56,55968.08,3.8,8,USA,Urban Ladder
24/06/2024,Lighting,Chandelier,642.32,18,11561.76,4.8,10,Canada,IKEA
21/09/2024,Lighting,Chandelier,671.74,35,23510.9,4.9,8,Australia,Urban Ladder
29/05/2024,Rugs & Carpets,Modern Carpet,260.27,51,13273.77,4,6,USA,IKEA
11/07/2024,Furniture,Wooden Dining Table,630.07,10,6300.7,4.5,10,India,Wayfair
07/08/2024,Lighting,LED Floor Lamp,285.15,31,8839.65,4.9,4,Germany,Wayfair
29/09/2024,Lighting,Chandelier,1155.94,17,19650.98,4.5,9,USA,Ashley Furniture
03/06/2024,Lighting,Table Lamp,775.28,46,35662.88,4.3,9,Canada,Wayfair
29/11/2024,Furniture,Glass Coffee Table,357.06,47,16781.82,4.3,10,Germany,Urban Ladder
13/06/2024,Rugs & Carpets,Modern Carpet,173.28,56,9703.68,4.4,3,Germany,IKEA
11/11/2024,Wall Art,Canvas Painting,1065.64,60,63938.4,4.1,1,India,Wayfair
27/03/2024,Rugs & Carpets,Modern Carpet,1047.91,32,33533.12,3.8,7,USA,Wayfair
21/08/2024,Storage,Bookshelf,543.59,55,29897.45,4.3,7,Germany,IKEA
26/08/2024,Wall Art,Metal Wall Sculpture,680.4,23,15649.2,3.6,3,USA,Wayfair
10/12/2024,Storage,Bookshelf,1033.99,1,1033.99,4,9,Canada,Ashley Furniture
01/12/2024,Storage,Wall-mounted Cabinet,230.29,59,13587.11,3.8,10,UK,Williams-Sonoma
09/11/2024,Storage,Bookshelf,30.05,14,420.7,4,6,India,IKEA
12/03/2024,Storage,Shoe Rack,996.23,16,15939.68,3.8,10,Germany,Williams-Sonoma
07/06/2024,Wall Art,Canvas Painting,276.34,20,5526.8,3.6,9,UK,Ashley Furniture
